ID,original_length,rate_sim_1,dist_sim_1,rate_sim_2,dist_sim_2,rate_sim_5,dist_sim_5,rate_sim_10,dist_sim_10,rate_sim_20,dist_sim_20,rate_sim_40,dist_sim_40,rate_sim_60,dist_sim_60,rate_sim_80,dist_sim_80,rate_sim_100,dist_sim_100,rate_sim_1000,dist_sim_1000,rate_sim_10000,dist_sim_10000
32,550,0.6981818181818182,0.0,0.6963636363636364,1.5541849287154972,0.6963636363636364,1.5541849287154972,0.68,10.00319855099406,0.6654545454545454,20.33614453806303,0.6672727272727272,39.23375440571512,0.649090909090909,58.081735181668954,0.6363636363636364,79.28629807652572,0.6290909090909091,99.64280964374515,0.40545454545454546,1008.6739058367091,0.5472727272727272,10086.933704378484
33,975,0.7538461538461538,0.9228884109854332,0.7487179487179487,2.1671237581108906,0.7405128205128205,4.117378104663343,0.7302564102564103,9.331492227233962,0.7158974358974359,28.22383717549456,0.7005128205128205,39.30253915665928,0.683076923076923,58.735457417445616,0.6707692307692308,80.04384026975414,0.6728205128205128,99.42463100478295,0.41025641025641024,1116.9399056424645,0.642051282051282,8565.425049706962
34,4594,0.9007400957771006,1.5919802714992062,0.8517631693513278,2.6671795955718167,0.7340008707009142,6.049524691527127,0.5966478014801916,14.237612332869038,0.5034828036569439,21.329054061407046,0.44710491946016545,42.79878837355252,0.4209838920330866,61.72932614467169,0.4044405746626034,80.74033781155437,0.3933391380060949,100.95546715307327,0.4392686112320418,1005.3669309611715,0.8206356116673923,7348.052915397788
35,5621,0.9094467176658958,1.7351259637502634,0.8580323785803238,2.7534080896608355,0.7399039316847537,5.719166431580232,0.6050524817648105,15.238919527777142,0.5096957836683864,24.771984638094253,0.4835438534068671,48.78691894248533,0.4785625333570539,74.41527307571114,0.4611279131827077,91.33296019645545,0.4573919231453478,122.3173003890503,0.4212773527842021,1049.793971317472,0.7749510763209393,9779.570105295268
36,464,0.8491379310344828,0.9971294020193342,0.8125,2.1270536541733502,0.8081896551724138,5.054885876479884,0.7974137931034483,12.46492983593438,0.7392241379310345,20.1161282371875,0.6745689655172413,29.090414308232752,0.7780172413793104,50.68051540421118,0.709051724137931,75.85188003363626,0.6961206896551724,95.30837232537121,0.41810344827586204,831.8242077859682,0.5603448275862069,8197.232773465996
37,426,0.6971830985915493,0.0,0.6924882629107981,1.6524504423198718,0.6807511737089202,5.1558442323386675,0.6807511737089202,10.040193049314741,0.6525821596244131,19.936029680242925,0.6431924882629108,32.829847736785595,0.6431924882629108,51.799035059210226,0.6455399061032864,79.65190774071188,0.6220657276995305,98.25843325190206,0.48826291079812206,1004.1002887093027,0.47183098591549294,10085.83571730405
38,1446,0.7351313969571232,1.1693576231592457,0.6832641770401107,2.278662625467443,0.7309820193637621,5.109152879297454,0.6625172890733056,9.996893329712243,0.6452282157676349,19.41323408458527,0.6182572614107884,39.73502809481245,0.5947441217150761,58.4876255752403,0.6002766251728907,79.01284935443573,0.6742738589211619,99.62617294645983,0.4896265560165975,1610.8801925849016,0.6147994467496543,7324.128697445392
39,1890,0.9121693121693122,1.2280964611949527,0.8761904761904762,2.6177119504940047,0.7973544973544974,5.398628213693485,0.7936507936507936,11.271457719084069,0.7783068783068783,20.100779577241894,0.8021164021164021,46.46088428769531,0.8740740740740741,60.43409502209698,0.8148148148148148,118.94601655646352,0.7894179894179895,130.4341982681002,0.5026455026455027,1189.701671085585,0.707936507936508,6075.108292547198
40,7,0.8571428571428571,0.0,0.8571428571428571,0.0,0.8571428571428571,0.0,0.8571428571428571,0.0,0.8571428571428571,0.0,0.8571428571428571,0.0,0.8571428571428571,0.0,0.8571428571428571,0.0,0.8571428571428571,0.0,0.7142857142857143,805.432043787476,0.5714285714285714,9767.891848807505
41,1792,0.5837053571428571,1.5123914427735232,0.5591517857142857,2.506022972904176,0.6166294642857143,5.3274273992265755,0.5970982142857143,12.364210898892477,0.5602678571428571,20.081597530935777,0.5440848214285714,40.32108301796765,0.5647321428571429,60.522924361775296,0.5334821428571429,95.68943556813181,0.5357142857142857,130.24653324961122,0.28627232142857145,999.5937778562857,0.42354910714285715,7944.449655595128
42,1575,0.7314285714285714,1.123468513535482,0.7073015873015873,3.4706683758440344,0.6926984126984127,6.072834886130262,0.6736507936507936,9.996393656557295,0.6266666666666667,20.069764439696165,0.6742857142857143,69.68030783496474,0.5733333333333334,69.68030783496474,0.5415873015873016,80.47950831391651,0.5161904761904762,96.55202031752353,0.32063492063492066,1343.8619680794022,0.5066666666666667,9287.86880717726
43,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6,10772.09919582283
44,1603,0.6568933250155957,1.2111308397325755,0.6150966936993137,3.081617971006458,0.6150966936993137,5.9624218831350575,0.6069868995633187,9.759163882999758,0.64504054897068,20.01661798045424,0.5689332501559575,40.17510518873068,0.5832813474734873,58.33331297214066,0.5876481597005615,78.8915737769971,0.5839051777916406,139.02934748879517,0.3119151590767311,1203.930971552183,0.3137866500311915,10063.952154285907
45,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
46,1693,0.8363851151801536,1.286995883074357,0.8080330773774365,2.2483143440876465,0.8216184288245718,5.9653236545909225,0.7944477259303012,10.330794629279499,0.7607796810395747,20.34411880735857,0.7442409923213231,39.79664545549816,0.6952155936207915,57.45069848220771,0.6580035440047254,76.96265605948429,0.6751329001772003,99.726879443613,0.370939161252215,1041.0115632664815,0.7336089781453042,6715.880901595505
47,8,0.875,0.0,0.875,0.0,0.875,0.0,0.875,9.839136791651267,0.75,12.521980673995568,0.75,12.521980673995568,0.75,12.521980673995568,0.75,12.521980673995568,0.75,12.521980673995568,0.75,12.521980673995568,0.75,12.521980673995568
