ID,original_length,rate_sim_1,dist_sim_1,rate_fbqs_1,dist_fbqs_1,rate_sim_2,dist_sim_2,rate_fbqs_2,dist_fbqs_2,rate_sim_5,dist_sim_5,rate_fbqs_5,dist_fbqs_5,rate_sim_10,dist_sim_10,rate_fbqs_10,dist_fbqs_10,rate_sim_20,dist_sim_20,rate_fbqs_20,dist_fbqs_20,rate_sim_40,dist_sim_40,rate_fbqs_40,dist_fbqs_40,rate_sim_60,dist_sim_60,rate_fbqs_60,dist_fbqs_60,rate_sim_80,dist_sim_80,rate_fbqs_80,dist_fbqs_80,rate_sim_100,dist_sim_100,rate_fbqs_100,dist_fbqs_100,rate_sim_1000,dist_sim_1000,rate_fbqs_1000,dist_fbqs_1000,rate_sim_10000,dist_sim_10000,rate_fbqs_10000,dist_fbqs_10000
47,8,0.75,4295.35,0.375,21538.2,0.75,4295.35,0.375,21538.2,0.75,4295.35,0.375,21538.2,0.625,4295.35,0.375,21538.2,0.625,4295.35,0.375,21538.2,0.625,4295.35,0.375,21538.2,0.625,4295.35,0.375,21538.2,0.625,4295.35,0.375,21538.2,0.625,4295.35,0.375,21538.2,0.625,4295.35,0.375,21538.2,0.625,4295.35,0.25,71819
48,905,0.47624309392265196,3366.38,0.24751381215469614,11744.9,0.456353591160221,8012.52,0.24751381215469614,7043.35,0.4530386740331492,8319.63,0.24530386740331492,11719.4,0.44972375690607735,8012.52,0.24751381215469614,9571.68,0.44419889502762433,3337.66,0.24640883977900552,7064.85,0.4408839779005525,12659,0.24751381215469614,6778.89,0.4331491712707182,12124.3,0.24751381215469614,19579.9,0.4486187845303867,3356.15,0.2430939226519337,19582.3,0.4453038674033149,3358.52,0.23867403314917127,19579.9,0.29392265193370165,16683.9,0.2,20315.2,0.09502762430939227,28263.7,0.06298342541436464,20261.8
49,763,0.8387942332896461,670.82,0.42070773263433814,7470.75,0.8230668414154653,674.784,0.42070773263433814,7470.75,0.8152031454783748,674.784,0.42070773263433814,7470.75,0.7903014416775884,1514.99,0.42201834862385323,7470.75,0.7680209698558322,675.048,0.4259501965923984,7470.75,0.7051114023591087,1489.39,0.4259501965923984,7470.75,0.672346002621232,1519.24,0.42201834862385323,6528.96,0.6238532110091743,4689.82,0.42070773263433814,6528.96,0.6159895150720839,4692.63,0.42070773263433814,6528.96,0.2699868938401048,16128.2,0.34600262123197906,6538.42,0.4338138925294889,25339.6,0.04980340760157274,12988.9
50,576,0.7482638888888888,136.294,0.3871527777777778,2003.12,0.7517361111111112,100.684,0.3871527777777778,2003.12,0.7291666666666666,1101.9,0.3888888888888889,2412.04,0.6961805555555556,1100.88,0.390625,2011.5,0.6493055555555556,1123,0.390625,2011.5,0.6267361111111112,1100.81,0.390625,2011.5,0.5659722222222222,7580.49,0.390625,2009.76,0.5590277777777778,7578.62,0.3888888888888889,2009.76,0.5208333333333334,7578.62,0.3854166666666667,2009.76,0.2552083333333333,16543.8,0.2934027777777778,2442.75,0.3628472222222222,11030.9,0.04861111111111111,9212.47
51,858,0.7983682983682984,91.5166,0.42657342657342656,71716.4,0.7855477855477856,100.14,0.42657342657342656,71716.4,0.7645687645687645,600.169,0.4289044289044289,71716.4,0.7342657342657343,600.169,0.43006993006993005,7691.51,0.6748251748251748,5538.92,0.43006993006993005,71716.1,0.6445221445221445,7818.57,0.42657342657342656,72658.9,0.6293706293706294,7818.57,0.42773892773892774,72658.9,0.5885780885780886,8748.57,0.4289044289044289,72658.9,0.5209790209790209,9917.04,0.42424242424242425,72658.9,0.2692307692307692,29634.7,0.3414918414918415,30739.8,0.2902097902097902,93470.2,0.055944055944055944,71672.7
52,1059,0.8215297450424929,3202.5,0.43531633616619453,2270.84,0.777148253068933,5759.32,0.43531633616619453,2270.84,0.7884796978281398,3202.5,0.4343720491029273,2270.84,0.7507082152974505,1446.38,0.43248347497639283,2270.84,0.7157695939565628,1927.13,0.43153918791312557,2270.84,0.6109537299339,1.62606e+06,0.42776203966005666,2270.84,0.5712936732766761,1.62606e+06,0.42681775259678945,2270.26,0.559017941454202,1.62606e+06,0.4230406043437205,2270.26,0.5146364494806421,1.62606e+06,0.42398489140698775,2477.38,0.28895184135977336,22051.2,0.31728045325779036,6021.79,0.11331444759206799,23101.5,0.02644003777148253,1.63152e+06
53,1837,0.557974959172564,6806.61,0.2874251497005988,394119,0.5443658138268916,14693.6,0.2934131736526946,394119,0.5367446924333152,14693.6,0.2879695155144257,394119,0.5394665215024497,6806.61,0.28905824714207945,394457,0.5285792052259118,6806.61,0.28905824714207945,394646,0.5127925966249319,6806.61,0.2868807838867719,394646,0.4986390854654328,6855.86,0.2819814915623299,394646,0.47414262384322264,16038.2,0.27925966249319545,394646,0.4501905280348394,16002.8,0.27980402830702233,394457,0.11976047904191617,43117.9,0.23407729994556342,394094,0.21720195971692977,49312.9,0.05606967882416984,15551.5
54,1636,0.6051344743276283,100.109,0.3154034229828851,5362.26,0.6033007334963325,100.109,0.3154034229828851,5792,0.5678484107579462,8765.33,0.3160146699266504,8980.82,0.5874083129584352,3485.78,0.3141809290953545,10702,0.5874083129584352,934.3,0.3111246943765281,10715.4,0.5513447432762836,15307.8,0.3105134474327628,10686.3,0.5415647921760391,15311.3,0.30623471882640585,10713.1,0.5268948655256723,15311.3,0.30378973105134477,10713.1,0.5201711491442543,15311.3,0.30317848410757947,10713.1,0.23838630806845965,38615.2,0.2628361858190709,5585.73,0.24205378973105135,37669.6,0.0647921760391198,11973.3
55,1552,0.39884020618556704,3056.11,0.2190721649484536,24312.1,0.3002577319587629,24663.5,0.21713917525773196,24312.1,0.31056701030927836,24653.9,0.2190721649484536,24312.1,0.38208762886597936,804.379,0.21585051546391754,24317.1,0.37757731958762886,804.931,0.20747422680412372,22653.1,0.2777061855670103,35644.9,0.20167525773195877,22651.9,0.3543814432989691,1457,0.1952319587628866,22651.9,0.3472938144329897,511.209,0.19201030927835053,22651.9,0.32087628865979384,26576.9,0.19007731958762886,22651.9,0.18041237113402062,17517.4,0.15850515463917525,22647.2,0.16623711340206185,32224.3,0.03994845360824742,30964.2
56,1799,0.5419677598665925,6901.6,0.29405225125069484,18974.9,0.5352973874374652,9441.14,0.2934963868816009,18974.9,0.5264035575319622,9411.61,0.2857142857142857,18974.9,0.5125069483046136,8539.9,0.2884936075597554,18976.4,0.48971650917176207,3528.74,0.2784880489160645,6861.45,0.47804335742078935,5601.29,0.27015008337965535,6861.45,0.443023902167871,5600.38,0.26848249027237353,6852.6,0.4280155642023346,5611,0.26181211784324626,6852.6,0.40967204002223456,7664.49,0.2584769316286826,6852.6,0.2423568649249583,15996.2,0.2056698165647582,6852.6,0.20233463035019456,35381,0.040022234574763754,20369.9
